Sample	Taxon	Sex	Location	locality_ID	OrbitalRingHueCat	TarsusHueCat	BillShapeRatio	BilllengthRatio	NB	NM	NW	T10	T9	T5	T4	W10_mm	W9_mm	B10_mm	B9_mm	B8_mm	B7_mm	B6_mm	B5_mm	M10_mm	M9_mm	M8_mm	M7_mm	M6_mm	M5_mm	M4_mm	TarsusR
LarCacYP03T	Larus hybrid	F	SLUP7	7	3	4	3.98816568	1.77299703	7	2	7	3	2	3	1	62.2513959	46.683836	45.1639767	85.6711013	59.6962892	38.786298	26.4643823	17.3862869	132.965855	179.278116	122.780543	84.2142859	43.2509106	28.1637126	6.2565946	0.164039409
LarCacYP03Z	Larus cachinnans	F	DWJA14	14	3	2	3.06024096	2.23818898	6	2	6	2	1	2	0	62.2009627	50.7361734	27.3356288	71.2143552	46.5643831	29.261518	17.3672	0.32689843	141.292935	178.219614	133.54611	74.6621265	37.9406432	12.2532415	0	0.157437071
LarCacYP06Z	Larus cachinnans	F	KOZI13	13	2	3	3.10869565	2.23426573	6	1	6	1	3	2	0	63.9593714	44.5598321	0	56.8829294	45.2425052	28.5474253	17.9844971	0	154.176091	165.215442	125.840557	66.0226559	33.2466727	0	0	0.153811659
LarCacYP07Z	Larus cachinnans	M	KOZI13	13	4	3	3.10144928	2.16043614	6	1	6	2	1	2	0	64.0160276	51.683585	17.5274027	65.0406682	51.834887	32.9082643	21.7654859	3.15545726	135.531214	169.671097	120.886774	83.1767676	38.7835627	12.7035532	0	0.161038961
LarCacYP08Z	Larus cachinnans	M	KOZI13	13	2	2	2.92647059	2.25963149	6	1	6	2	1	3	0	70.6799265	51.591553	38.2438339	86.0977738	64.0703502	42.383966	24.8804235	3.93117723	145.025612	201.452457	136.932911	93.9432614	48.6031284	9.34946849	0	0.159784946
LarCacYP09Z	Larus cachinnans	M	KOZI13	13	2	2	3.31770833	2.15855573	7	1	7	2	2	2	1	60.7936114	40.9105026	39.2422109	78.4365978	65.515889	39.1003891	22.9071246	0	156.06875	199.398821	160.470173	113.829084	60.253349	0	0	0.165961945
LarCacYP0AJ	Larus cachinnans	M	SZCE4	4	3	4	3.35164835	2.1852459	7	2	7	3	2	3	1	60.5782533	48.8747654	56.483059	90.0933091	60.7023009	33.392723	23.1305505	12.9815265	180.296896	203.947462	151.324773	89.8049661	44.3010663	28.5704771	12.8663305	0.151096491
LarCacYP10Z	Larus hybrid	F	KOZI13	13	3	3	3.01098901	2.27919708	6	1	6	2	2	2	0	62.4446746	45.4495668	45.0886667	83.0411792	55.1016224	26.178434	18.8766732	0	134.164028	168.89943	117.181438	65.7195514	38.2085501	0	0	0.156561086
LarCacYP11Z	Larus hybrid	F	KOZI13	13	2	1	3.12290503	2.26654741	9	2	9	5	3	3	2	58.6844337	35.5872688	64.6245581	86.4199464	59.4241512	40.4747412	24.7492423	16.8615075	155.171317	200.413518	150.878505	118.63711	74.1069445	33.5973883	9.65661913	0.151716738
LarCacYP12Z	Larus cachinnans	F	KOZI13	13	2	2	3.09659091	2.30642202	6	2	6	2	2	3	0	59.8886987	43.636838	43.8843371	90.4895174	65.6903671	40.1718223	19.8298348	6.52519853	161.565543	208.678747	161.010916	104.254269	46.5309141	18.5237774	0	0.149115044
LarCacYP14Z	Larus cachinnans	F	KOZI13	13	2	1	3.28021978	2.16582915	6	2	6	2	2	3	0	62.8400897	40.937952	39.4679328	76.4000849	56.9730983	32.4132476	23.8453476	6.69184435	138.275957	188.289726	145.731663	87.9776111	42.9405623	19.4581247	0	0.160592255
LarCacYP15Z	Larus cachinnans	M	KOZI13	13	3	2	3.02955665	2.25528455	6	1	6	2	2	3	0	70.5570274	51.6360283	31.9312463	NA	NA	41.8175048	26.1023157	10.9732282	147.428419	176.461516	134.732532	84.6679808	44.0684945	18.0698493	0	0.160300429
LarCacYP16Z	Larus cachinnans	F	KOZI13	13	2	2	3.19886364	2.22024867	7	2	7	2	2	3	1	64.9113124	46.4510115	29.3160011	69.3441655	55.1191049	36.570988	26.177484	13.8331417	152.79528	203.44264	135.702552	98.0298383	53.8481061	25.777849	0	0.160619469
LarCacYP17E	Larus cachinnans	M	KEPA11	11	2	3	3.17412935	2.22570533	7	1	7	5	2	3	1	63.1687108	44.259208	23.3904423	77.762837	62.0229228	35.6331976	22.6496344	10.3161048	141.896795	189.193477	140.135622	102.58294	67.3489996	29.7080596	14.3992864	0.161339093
LarCacYP18E	Larus cachinnans	M	KEPA11	11	3	2	3.02403846	2.23847377	7	1	7	3	2	3	1	55.878035	39.1398691	61.447807	85.2282029	54.5106843	35.4049395	27.4817081	12.1522578	151.527065	186.878051	152.625081	126.336708	75.829895	19.8066763	0	0.163296703
LarCacYP19E	Larus cachinnans	F	KEPA11	11	2	1	3.03867403	2.25636364	6	1	6	2	2	2	0	62.2588339	43.9012264	22.1279311	69.8631488	49.1796349	24.6993907	17.1353393	3.53200232	144.412592	179.616402	130.525084	76.2180105	41.3833255	13.9137101	0	0.155632184
LarCacYP20E	Larus cachinnans	M	KEPA11	11	3	5	3.20408163	2.21815287	6	2	6	5	3	3	0	54.3251359	33.921073	87.9915589	92.1829331	65.8132999	41.1271339	26.0184384	12.3381402	177.512769	198.678019	162.571037	117.466957	52.0486419	25.5674061	0	0.165517241
LarCacYP26E	Larus cachinnans	M	KEPA11	11	2	NA	3.12376238	2.18541997	6	1	6	3	3	3	0	59.4178949	34.1278672	33.3966484	63.5230968	54.1434427	33.8493156	25.5863393	6.59870063	NA	174.910965	119.791009	85.2201151	44.581962	18.2768042	0	0.156041667
LarCacYP29E	Larus cachinnans	F	KEPA11	11	2	3	3.48780488	2.17832168	7	2	7	3	3	3	1	67.8784567	44.2362416	25.3858576	69.3957478	51.5419983	26.7308511	17.4859098	5.16540868	130.261915	187.167053	134.025307	99.7447643	52.8786719	21.9026538	0	0.14469526
LarCacYP2GP	Larus cachinnans	F	ZIOL6	6	2	2	3.4260355	2.11226252	8	1	8	5	3	3	2	57.5434458	38.2070138	55.2196879	72.4678815	NA	49.8621395	35.932322	18.5217622	152.976434	191.770224	161.03979	132.674157	99.2003116	45.4017839	24.5306856	0.152783964
LarCacYP2MV	Larus cachinnans	M	ZIOL6	6	3	5	3.24875622	2.11485452	7	1	7	3	2	3	1	52.3123226	37.8173628	51.4659574	85.6143578	63.0134521	44.0619971	23.8334684	10.6652197	157.43802	199.746513	164.464571	123.812642	66.9002271	31.4176871	0	0.165658747
LarCacYP2SN	Larus hybrid	M	ZIOL6	6	2	3	3.08040201	2.11256117	5	2	5	2	3	0	0	50.1507779	31.3998276	62.8108324	68.3574884	36.3457072	19.0221527	5.71951693	0	134.22677	165.411773	128.776244	71.8414431	29.2846334	0	0	0.157427938
LarCacYP2ZT	Larus cachinnans	F	ZIOL6	6	3	3	3.20588235	2.2733945	6	2	6	4	3	3	0	63.9312365	35.7727055	54.6689784	78.3952139	53.0181164	33.9976266	20.8150406	9.18866344	NA	195.295991	132.115251	75.8945163	39.8354737	13.2541067	0	0.161261261
LarCacYP31E	Larus cachinnans	F	KEPA11	11	2	2	3.80874317	1.83787661	6	2	6	2	2	3	0	61.2110531	42.219603	39.7828408	76.3319812	58.5650143	38.0326383	18.9845864	5.84115969	133.337323	179.946582	136.363246	80.7150092	40.2719489	14.2258239	0	0.149126638
LarCacYP32E	Larus cachinnans	M	KEPA11	11	2	2	3.53684211	2.0922619	6	2	6	3	2	2	0	59.2740239	39.9453171	41.9063178	80.7899556	65.8917055	33.919716	23.0762671	2.94954052	155.112463	194.853041	165.989963	95.9621122	47.9688156	14.1884856	0	0.159645233
LarCacYP34Z	Larus hybrid	M	DWJA14	14	3	3	2.96685083	2.29236499	6	1	6	5	4	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15862069
LarCacYP362	Larus hybrid	F	WLOC9	9	1	2	3.20224719	2.45438596	6	2	6	4	2	2	0	52.4973525	38.2382244	NA	NA	39.9722749	26.7158932	18.3940129	2.76672092	129.167648	170.533868	121.645704	55.5980598	35.0989852	0	0	0.157466063
LarCacYP36E	Larus cachinnans	F	KEPA11	11	2	2	3.18888889	2.18989547	6	1	6	2	2	3	0	53.386003	51.3616371	50.7969834	75.6832477	57.9311181	33.4636979	16.7664568	3.94051656	135.549219	181.790157	129.375097	95.5715646	47.4464008	12.3761415	0	0.159865471
LarCacYP37E	Larus hybrid	F	KEPA11	11	2	1	3.17714286	2.25539568	5	1	5	2	2	0	0	65.695728	45.0280343	33.0099163	74.2477326	43.3323403	21.5558899	8.8912783	0	145.786664	186.60972	120.861377	70.5275116	25.949203	0	0	0.148873874
LarCacYP3CS	Larus cachinnans	F	ZAST12	12	2	4	3.69375	2.03045685	6	2	6	2	2	3	0	51.8709735	40.0169791	43.58091	73.406732	53.7177777	34.4676493	21.9585167	4.7078799	133.169355	163.769714	137.127007	82.131411	46.3511499	15.9451617	0	0.14715262
LarCacYP3HS	Larus cachinnans	M	ZAST12	12	2	2	3.07317073	2.14285714	7	3	7	2	2	3	1	69.2573492	41.7422901	34.5983191	79.7244308	NA	30.5092318	20.6586239	8.43913156	143.600463	188.64903	178.96338	123.963456	61.0190897	21.5706279	0	0.159782609
LarCacYP3KS	Larus hybrid	M	ZAST12	12	2	2	2.98122066	2.23622047	7	2	7	5	2	3	1	62.623802	43.8229601	71.1402361	94.8623085	62.3918357	43.601194	25.0034334	11.2112242	140.911243	188.166771	169.868322	116.672519	75.2634122	32.9202134	22.8291062	0.166304348
LarCacYP3NS	Larus hybrid	M	ZAST12	12	2	3	2.98989899	2.19594595	6	2	6	3	3	3	0	58.1241226	38.9632097	NA	99.4493571	69.5172861	40.9481566	22.0368263	8.24616022	135.802235	188.080944	159.803161	106.727698	53.9184538	11.2024764	0	0.162610619
LarCacYP3PS	Larus hybrid	M	ZAST12	12	2	1	2.7804878	2.33333333	6	2	6	2	3	2	0	56.541401	40.0451447	59.221527	74.3079249	55.6699072	34.8376661	20.5237908	0	154.190495	194.485567	141.872378	99.8895719	43.7872877	0	0	0.160869565
LarCacYP3RS	Larus cachinnans	F	ZAST12	12	3	3	3.11111111	2.26785714	6	2	6	2	2	2	0	48.5094037	41.519325	22.1387632	53.0435196	41.6770097	29.8308905	18.6007267	4.2247265	142.160218	172.200392	125.594235	84.8472978	44.8837501	8.5718433	0	0.16091954
LarCacYP3TS	Larus cachinnans	M	ZAST12	12	2	2	3.08823529	2.11111111	6	2	6	3	3	3	0	58.3551025	41.8151159	55.6966626	90.686026	64.9339697	44.7941387	20.8112319	5.79871324	145.613023	187.620455	144.73428	102.745479	55.5639811	15.8131509	0	0.173333333
LarCacYP3WS	Larus cachinnans	M	ZAST12	12	2	2	3.3	2.09090909	6	2	6	2	3	3	0	NA	NA	NA	NA	59.7409566	36.0619682	23.7361466	8.45007189	NA	NA	141.420159	100.539808	37.7470388	18.38021	0	0.163043478
LarCacYP3YS	Larus cachinnans	F	ZAST12	12	2	3	3.2752809	2.10120069	6	2	6	4	3	3	0	53.7146415	38.1748096	50.5549174	77.3620689	60.6870199	38.9891895	20.3178062	7.07410359	145.615139	193.933344	142.943272	80.9364139	48.8574284	20.5845634	0	0.153409091
LarCacYP3ZS	Larus cachinnans	F	ZAST12	12	3	5	2.97297297	2.25454545	7	1	7	4	3	3	1	58.2046245	38.148747	51.5065207	79.0557153	66.4544143	40.6482046	24.9945764	11.1553685	138.664219	177.037438	134.89352	70.7406018	41.1057312	21.5180357	0	0.154788419
LarCacYP4CL	Larus hybrid	F	ZIOL6	6	3	2	3.34659091	2.11035654	6	2	6	5	4	3	0	44.9033648	34.0349184	NA	NA	67.7643802	52.3391031	34.3583935	13.7604183	157.295601	186.988321	133.415746	95.6256402	55.6066413	31.3672887	0	0.157403189
LarCacYP4LL	Larus cachinnans	F	ZIOL6	6	3	4	3.7804878	2.02419355	7	2	7	3	2	3	1	53.8495379	38.1254125	23.615618	57.7499429	41.9241016	30.9379121	21.2482453	11.1869376	NA	168.94939	121.291686	70.9865717	36.8692925	22.1105407	0	0.164953271
LarCacYP4TL	Larus cachinnans	M	ZIOL6	6	3	2	3.11055276	2.15508885	6	3	6	3	2	3	0	59.7926254	35.8595251	25.4816014	NA	51.0565208	30.4973037	25.4553182	13.5869033	134.865745	169.21603	138.745374	111.111227	79.519756	23.9452083	0	0.162857143
LarCacYP4UL	Larus cachinnans	F	ZIOL6	6	3	3	3.31736527	2.19314079	6	1	6	4	3	3	0	59.3603922	40.5448477	12.9656769	75.3951494	45.8572034	42.2404012	22.7386911	8.27806593	130.708924	173.128104	119.771495	68.6172617	36.0862155	14.3361666	0	0.163636364
LarCacYP4VL	Larus cachinnans	F	ZIOL6	6	2	3	3.40350877	2.11340206	6	2	6	3	3	3	0	50.70619	33.8754829	34.5560956	NA	47.7953005	27.4096957	19.7203163	4.45090538	129.912016	175.98825	140.014246	81.2723639	34.644029	13.3235598	0	0.153521127
LarCacYP5S3	Larus cachinnans	F	DWJA14	14	3	1	2.92021277	2.25865209	6	1	6	2	2	3	0	61.1658689	43.5917617	33.7319181	71.0630521	49.2352485	30.9116034	15.3925145	3.3261165	152.550658	168.269583	118.328219	71.3558446	35.5526527	14.8310311	0	0.154945055
LarCacYP5S6	Larus cachinnans	M	DWJA14	14	4	2	2.97663551	2.22291994	7	2	7	3	2	3	1	90.7228922	68.312928	58.3636731	99.8940761	70.9026534	39.4839315	27.2546048	6.98097131	188.972736	261.178527	199.443909	128.200959	68.9651974	27.5622285	0	0.161802575
LarCacYP5S9	Larus cachinnans	M	DWJA14	14	3	2	2.99033816	2.2180937	7	2	7	2	2	3	1	52.7451105	45.6117406	47.4377604	72.5558041	60.3389588	44.9136415	26.4663331	10.557188	168.409606	211.478849	155.349378	104.820955	56.3191725	24.7065361	7.67377965	0.161373391
LarCacYP6DX	Larus hybrid	F	PRZY10	10	3	3	3.09340659	2.24866785	6	2	6	2	1	2	0	81.3982451	53.3865209	42.3443522	93.4089468	67.1845737	38.8059127	25.518611	2.64900662	205.448866	236.099468	170.403412	99.7884698	59.5667294	13.3715809	0	0.15187638
LarCacYP6DY	Larus hybrid	M	PRZY10	10	2	2	3.2	2.19375	6	2	6	3	3	3	0	85.7898249	49.03573	79.2793944	87.768696	73.7762241	45.4629523	28.6240391	11.291211	218.604497	251.060305	194.62142	124.529176	51.193891	21.1155607	0	0.16199187
LarCacYP6DZ	Larus hybrid	M	PRZY10	10	3	2	3.03940887	2.18476499	6	1	6	2	3	1	0	59.8301331	42.9937717	78.5555313	93.4437561	64.3004439	40.7094231	17.8337344	0	194.759947	189.442651	156.328568	89.9790222	32.8983003	0	0	0.168314607
LarCacYP6EA	Larus hybrid	F	PRZY10	10	2	1	3.28994083	2.23021583	6	2	6	4	3	3	0	47.5100968	31.0951442	74.5785748	79.3462411	51.2701286	32.0857732	24.1810979	7.50040541	145.243999	167.928311	129.465252	91.5541157	41.4789981	16.9591619	0	0.156561086
LarCacYP6EB	Larus cachinnans	M	PRZY10	10	2	2	3.01941748	2.18649518	6	1	6	2	3	2	0	62.5908733	41.8677865	NA	NA	62.233816	32.505855	26.3556716	4.38210507	149.423746	190.256045	126.961598	73.5800033	37.1483114	10.2711786	0	0.159606987
LarCacYP6EJ	Larus hybrid	M	PRZY10	10	3	3	2.98104265	2.15739269	6	1	6	2	3	3	0	55.1911542	36.3534111	69.5429158	NA	NA	39.0715043	23.3722383	7.09685229	147.987801	175.555539	125.73417	85.9755338	46.1233225	13.7181301	0	0.16359743
LarCacYP6EK	Larus hybrid	M	PRZY10	10	3	3	3.18367347	2.15865385	7	2	7	5	3	3	1	51.2163843	40.1669838	73.0488452	NA	75.2153348	44.7145518	29.4327594	13.1079785	151.996927	196.518732	157.399621	117.498956	74.5180142	34.218322	10.2086238	0.159314775
LarCacYP6EU	Larus cachinnans	M	RYNS5	5	4	NA	3.2029703	2.1236476	6	1	6	2	2	2	0	63.8164853	46.5250999	18.8350761	68.5440469	46.5279646	27.410451	19.263871	4.93676695	171.038782	162.637369	116.880629	63.0918285	31.9033193	8.1236634	0	0.165795207
LarCacYP6EV	Larus cachinnans	F	RYNS5	5	3	1	3.32934132	2.20143885	6	2	6	2	2	2	0	64.7355873	51.5711494	34.670653	71.3710887	54.8703298	25.1888515	11.0412945	4.21505741	150.099616	190.691714	137.109685	81.9074791	41.2038148	15.6022715	0	0.164637002
LarCacYP6EW	Larus cachinnans	F	RYNS5	5	3	1	3.2259887	2.11208406	7	2	7	5	2	3	1	57.7021144	38.4237608	52.84417	70.7818873	54.2141012	32.3589752	25.3787432	15.0335477	154.580973	193.293085	119.412922	66.9166179	42.6787248	26.0412867	6.42727187	0.155803571
LarCacYP6EX	Larus cachinnans	F	RYNS5	5	3	4	3.23756906	2.09385666	6	1	6	2	2	3	0	59.157639	39.733913	25.641625	67.6002535	46.1315073	30.2541049	18.4610551	5.6089425	148.683805	173.042621	119.935849	64.0602434	34.3971638	16.1390816	0	0.148764045
LarCacYP6EY	Larus cachinnans	M	RYNS5	5	3	1	3.17525773	2.19318182	7	2	7	2	2	3	1	58.9413109	42.9616725	25.4743438	72.9802541	48.484562	33.4826795	23.1928868	8.7460268	146.335399	225.341652	155.045248	111.604722	71.5255304	27.6371503	10.9260349	0.155748373
